,word,num1,num2,num3,num4,num5,rel1,rel2,rel3,rel4,rel5
141,dinginess,0.764,-0.619,0.0,0.878,0.754,feculence,befoulment,defilement,dirtiness,dinge
142,serve_beer,0.0,0.709,0.0,0.0,0.236,buy_drink,drink_beer,invite_friend,pay_tab,throw_away_trash
143,eat_healthily,0.84,0.76,0.0,0.894,0.831,keep_skin_healthy,stay_healthy,stay_fit,maintain_good_health,maintain_muscle_strength
144,ecstasy_pill,-0.834,0.214,-0.391,-0.108,-0.373,use_drug,do_drug,drug_use,drug,addiction
145,underfoot,-0.063,-0.017,0.031,-0.037,-0.038,low,ground,look_down,ground_level,under_house
146,theater_critic,0.811,-0.63,0.0,0.959,0.8,drama_critic,critic,professional,art_critic,literary_critic
147,estimate,-0.023,0.248,0.0,0.31,0.178,assurance,total,quality,importance,amount
148,ear_money,0.65,-0.634,0.0,0.629,0.638,entertain_crowd,performance,give_pleasure,entertainment,use_talent
149,chlorine,0.0,0.0,-0.058,-0.074,-0.044,lifeguard,swimmer,still_water,large_body,shallow_water
150,erythema_nodosum,-0.859,0.0,0.676,-0.827,-0.787,erythroderma,erythema,erythema_multiforme,windburn,hickey
151,mixed_bag,-0.625,0.0,0.988,-0.591,-0.735,motley,mixture,variety,assortment,alphabet_soup
152,disturber,-0.651,0.0,0.716,-0.942,-0.77,bad_hat,provoker,inciter,instigant,hellhound
153,sickeningly,-0.089,0.158,0.659,-0.656,-0.415,disgustedly,revolting,disgusting,fed_up,sick_of
154,fibroid_tumor,-0.882,0.0,0.774,-0.993,-0.883,fibroma,fibroid,benign_tumor,nonmalignant_tumor,nonmalignant_neoplasm
155,bookmark,0.762,0.746,0.0,0.0,0.503,book,store_knowledge,find_book,use_book,book_relate
156,mind_reader,0.9,-0.882,0.0,0.687,0.823,escapologist,escape_expert,conjurer,telepathist,performer
157,become_little_hungry,0.964,0.0,0.0,0.0,0.321,weight_gain,impress_girlfriend,eat_pizza,eat,satisfy_crave
158,get_front,-0.118,-0.07,0.1,-0.277,-0.142,learn_patience,get_sore_foot,become_impatient,get_ticket,take_turn
159,after_dinner,0.046,0.201,-0.053,0.115,0.103,money_term,serve_hot,pay_monthly,must_pay,monetary_amount
160,master,0.036,0.111,-0.05,0.054,0.05,despot,supervisor,chief,commander,earl
161,critter,0.03,0.068,-0.044,0.093,0.049,beast,equine,live_creature,furry_creature,domesticate_animal
162,fuzziness,0.973,-0.777,0.0,0.983,0.911,opaqueness,faintness,dimness,opacity,vagueness
163,genesis,0.0,0.106,-0.052,0.163,0.072,band,kit,oblivion,rock_band,high_school_band
164,small_home,0.0,0.0,0.0,0.09,0.03,family_home,residence,home_build,domicile,dwell_place
165,good_place,0.067,0.206,-0.098,0.267,0.147,encompass,from_here,family_live,line_place,live_life
166,rest_place,0.0,0.074,0.0,0.107,0.06,sleep_area,sleep_place,comfy,horizontal_surface,restful
167,find_tv,0.787,-0.55,0.0,0.784,0.707,turn_television_set,turn_television,switch_tv,near_tv,buy_tv
168,green_thumb,0.427,0.227,0.0,0.37,0.341,taken_seriously,complement,much_need,remission,knowledgeable
169,flagellate_protozoan,0.995,-0.711,0.0,0.647,0.784,costia,zoomastigote,zooflagellate,dinoflagellate,hypermastigote
170,assertiveness,0.936,0.757,0.0,0.927,0.873,attitude,better,trait,blue_ribbon,exclamation
171,segmented_worm,-0.716,0.0,0.605,-0.623,-0.648,medicinal_leech,horseleech,annelid,annelid_worm,leech
172,myositis,-0.873,0.0,0.531,-0.681,-0.695,rubor,redness,dermatomyositis,inclusion_body_myositis,inflammation
