,word,hash1,hash2,rel1,rel2,rel3,rel4,rel5
137,skepticism,#angry,#disgusting,doubt,incertitude,dubiety,doubtfulness,dubiousness
138,funny_look,#angry,#disgusting,fight_against,uprise,rival,disagreement,anti
139,fragrance,#joyful,#interesting,aroma,scent,smell,odor,sniff
140,come_early,#interesting,#admirable,wait_patiently,learn_patience,conformist_attitude,line_up,stand_queue
141,sharp_point,#scared,#disgusting,sharp_nail,sharp,sharp_end,pointy,jag
142,huge,#surprising,#admirable,big,large,really_big,wide,tall
143,disgraced,#sad,#angry,disgraceful,shameful,disgrace,inglorious,dishonored
144,air_breathe,#interesting,#admirable,atmosphere,bird_fly,thunder_storm,lung,breathe
145,shocking,#sad,#disgusting,disgraceful,shameful,dishonorably,inglorious,dishonored
146,shop_food,#joyful,#interesting,purchase_grocery,buy_vegetable,buy_grocery,purchase_food,stock_merchandise
147,definition,#interesting,#admirable,vocabulary,read_material,book_genre,many_words,book_library
148,healthy_food,#joyful,#interesting,plan,eat_potato_chip,intelligent,careful_plan,stuff_face
149,play_role,#joyful,#admirable,play_part,act_part,act,role_play,part_of_play
150,sequester,#scared,#disgusting,seize,seclude,attach,impound,confiscate
151,marry_kid,#interesting,#admirable,loss_offreedom,quiet_baby,carry_baby,cum,lower_standard_live
152,tradition,#interesting,#admirable,culture,special_day,holiday,party_time,yearly_celebration
153,water_fall,#interesting,#joyful,sky,come_down,cloud_sky,water_drop,water_droplet
154,bang_gavel,#sad,#scared,serve_jury,verdict,register_vote,close_case,convict_criminal
155,block_sunlight,#surprising,#admirable,sun_block,shadow,block_light,parasol,no_sun
156,mental_state,#interesting,#admirable,thought,mind,inside_head,thoughtfulness,brain_function
157,air_breath,#surprising,#joyful,atmosphere,fresh_air,oxygen,lung,breathe
158,bullseye,#joyful,#surprising,baseball_bat,water_gun,goalie,hockey_puck,hockey_stick
159,bulletin,#interesting,#admirable,current_event,headline,paper_write,paper_page,many_pages
160,gooey,#scared,#disgusting,bee_product,flammable,remove_hair,slick,really_hot
161,shooting_movie,#joyful,#interesting,director,director_chair,actor,important_person,movie
162,cassette,#surprising,#admirable,compact_disc,music_storage,store_music,cd-rom,seventy
163,remedy,#joyful,#interesting,antidote,cure,therapeutic,curative,repair
164,compass,#joyful,#interesting,travel,find_way,help_travelling,compass_direction,use_compass
165,distraction,#angry,#disgusting,complication,confusion,disturbance,interference,interruption
166,devoured,#scared,#disgusting,consume,guttle,go_through,down,raven
167,date_man,#sad,#disgusting,date_woman,marry_man,service_car,oil_hinge,voice_concern
168,untouched,#angry,#disgusting,unimpressed,unaffected,uninfluenced,unswayed,immune
169,walk_beach,#admirable,#joyful,bible,popular_hobby,big_boat,song_lyric,bible_story
170,hair_dryer,#interesting,#admirable,barrette,hair_gel,blow_dryer,dry_hair,wet_hair
171,lass,#interesting,#joyful,ball_bounce,bicycle_tire,tire,increase_price,gyroscope
172,clean_agent,#surprising,#admirable,hand_wash,hygiene,cleanser,body_care,foam
173,extravagant,#disgusting,#angry,overweening,excessive,wasteful,exuberant,prodigal
174,green_black,#interesting,#admirable,purple,red,bright_red,red_green,peelable
175,cuisine,#joyful,#surprising,ferment_grape_juice,chef_special,bottle_wine,fine_dining,decanter
176,phone_line_busy,#angry,#sad,check_email,search_information,see_picture,conduct_research,better_oneself
177,send_mail,#interesting,#admirable,snail_mail,postage,send_package,buy_stamp,send_letter
178,blizzard,#scared,#disgusting,thunderstorm,snow_storm,storm,weather,rainy
179,reap,#joyful,#admirable,harvest,crop,grow_crop,plant_crop,graze_cattle
180,depravity,#scared,#disgusting,turpitude,putrefaction,corruption,depravation,degeneracy
181,bear_claw,#interesting,#admirable,cross_bun,hot_cross_bun,bear_paw,coffee_roll,bun
182,bounce,#joyful,#interesting,ball,ball_bounce,football,soccer,basketball
183,bouncy,#interesting,#admirable,spherical_shape,use_sport,circular_object,round_object,fill_air
184,grizzly_bear,#scared,#disgusting,animal,brown_bear,forest,creatures,polar_bear
185,behave,#interesting,#admirable,act,emote,do_something,imitate,stage_play
186,concealer,#sad,#scared,protect_from_sun,shade,meaning,corrector,sunglasses
187,obscured,#scared,#disgusting,befog,fog,becloud,haze_over,obnubilate
188,get_rid,#sad,#disgusting,dispose,ditch,exchange_goods,discard,delete
189,sock,#interesting,#joyful,foot,footwear,leg_wear,shoe,man_clothes
190,solid_room_temperature,#interesting,#admirable,hard_rock,hard_mineral,hard_plastic,hard_material,hard
191,male_human,#interesting,#admirable,man_and_woman,couple,male_and_female,sing_microphone,male_person
192,make_paper_airplane,#interesting,#admirable,paper_airplane,make_mark_paper,write_note,witting,make_note
193,water_stream,#interesting,#admirable,water_flow,flowing_water,small_stream,nile,big_lake
194,puzzling,#scared,#disgusting,perplex,stick,get,puzzle,vex
195,member_of_family,#interesting,#admirable,special_person,male_parent,man_child,boys,male
196,carry_suitcase,#joyful,#interesting,enter_door,bicycle_store,turn_knob,take_responsibility,broomstick
197,fall_asleep,#surprising,#joyful,boring_talk,doze_off,drowsiness,sleepy,tired
198,sweaty,#interesting,#joyful,pull_muscle,heart_rate_increase,heavy_breathe,get_exhausted,tire
199,charade,#surprising,#admirable,behave,act,perpetrator,portray,stage_play
200,sofa_bed,#interesting,#joyful,airline_seat,small_seat,beanbag_chair,hide-a-bed_sofa,chair
201,next,#scared,#disgusting,side_by_side,succeeding,following,adjacent,future
202,movie_title,#interesting,#joyful,movie,wet_air,condense_water,vapor_water,hazy
203,like_see,#interesting,#admirable,quick_look,stop_look,approach,bad_odor,simile
204,buy_stuff,#joyful,#interesting,buy_goods,buy_item,buy_gum,buy_cheap_item,return_goods
205,act_stupid,#angry,#disgusting,become_drunk,slur_word,disorientation,forgetfulness,hangover
206,customer,#interesting,#admirable,shopper,clerk,patron,vintner,hairdresser
207,need_done,#interesting,#admirable,help_person,show_appreciation,share_others,volunteer,help_others
208,seldom,#sad,#disgusting,worst,optional,change_someone_greatly,lass,temporary
209,distressfully,#sad,#scared,disquieted,distressing,disturbing,perturbing,troubling
210,enjoyable_activity,#joyful,#interesting,recreational,competitive,fun_play,good_sport,winter_sport
211,apathetically,#sad,#disgusting,impassiveness,impassivity,emotionlessness,unemotionality,stolidity
212,finite_state_machine,#joyful,#admirable,computer,limited,finite,machine,mathematical_model
213,scenic,#joyful,#admirable,perspective,vista,view,aspect,see_view
214,park_meter,#interesting,#joyful,candy,candy_machine,coin_purse,pocket,purse
215,man_pocket,#interesting,#joyful,back_pocket,pant_pocket,coin_purse,checkbook,pocket
216,unwieldy,#angry,#disgusting,cumbrous,ungainly,clumsy,cumbersome,awkward
217,chilly,#joyful,#interesting,snowy,cool_temperature,coldness,ice_rain,season_year
